document_text,user_message,assistant_response,visa_type,document_type,category,language,verified,source,date_updated
,What is the EB-1A extraordinary ability green card?,"EB-1A allows people with extraordinary ability in science, arts, education, business, or athletics to self-petition for a green card without an employer sponsor. You must meet at least 3 of 10 criteria: major prizes/awards, membership in elite associations, published material about you, judging others' work, original contributions, authorship of scholarly articles, display of artistic work, leading roles in distinguished organizations, high salary, or commercial success. You must be coming to continue work in your field. No PERM required. Processing is typically faster than other employment categories.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,How long does USCIS take to process applications?,"Processing times vary widely by form type, service center, and current caseload. Check current processing times at egov.uscis.gov/processing-times. As rough guides: I-130 (family petition) 12–24+ months; I-485 (green card adjustment) 8–24 months; I-765 (EAD/work permit) 3–5 months; N-400 (naturalization) 8–21 months; I-539 (change of status) 6–12 months; H-1B petition 3–6 months (15 business days with premium). Times fluctuate significantly. You can submit an inquiry (e-request) if your case exceeds the published processing time.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the Visa Waiver Program (VWP)?,"The Visa Waiver Program (VWP) allows citizens of 42 countries to travel to the US for tourism or business for up to 90 days without a visa, using ESTA (Electronic System for Travel Authorization). VWP countries include most of Western Europe, Japan, South Korea, Australia, and New Zealand. You must apply for ESTA at esta.cbp.dhs.gov before travel ($21 fee). ESTA approval is usually instant. If your ESTA is denied, you must apply for a B-1/B-2 visa. VWP travelers cannot extend their stay and have limited appeal rights if denied entry.",B1/B2,None,Travel,English,yes,uscis.gov,2026-06-20
,What is an EB-2 NIW (National Interest Waiver)?,"EB-2 NIW (National Interest Waiver) allows foreign nationals with advanced degrees or exceptional ability to self-petition for a green card without an employer sponsor or PERM labor certification. You must show your work is in an area of substantial intrinsic merit, your work has national scope, and the benefits of waiving the job offer requirement outweigh the labor market protections. This is often used by researchers, scientists, doctors, and entrepreneurs. The Dhanasar standard (2016 BIA precedent decision) guides EB-2 NIW adjudications. No cap specifically applies, but wait times vary by country.",B1/B2,None,Travel,English,yes,uscis.gov,2026-06-20
,Can I open a bank account as an immigrant without a Social Security Number?,"Yes. Many banks and credit unions allow immigrants to open accounts without a Social Security Number using an Individual Taxpayer Identification Number (ITIN) or, in some cases, just a foreign passport and visa. Banks like Bank of America, Chase, and Wells Fargo have programs for this. Some banks accept Mexican Matricula Consular cards. Credit unions often have more flexible policies. You can apply for an ITIN (Form W-7) from the IRS if you need to file taxes but are not eligible for an SSN. An ITIN does not authorize employment.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is a departure bar in immigration?,"A departure bar is a rule that prevents certain immigrants from filing or continuing certain immigration applications after leaving the US. For example, if you have a pending I-485 adjustment of status and you leave the US without Advance Parole, your I-485 may be deemed abandoned. Similarly, if you are in removal proceedings, departing the US can complicate or end your case. Some waivers require that you file before departing. Always check with an immigration attorney before traveling internationally if you have any pending immigration applications.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What healthcare options do immigrants have in the US?,Healthcare options depend on your immigration status. Lawful permanent residents (after 5 years) and citizens can access Medicaid and CHIP in most states. Some states provide Medicaid to recent immigrants regardless of the 5-year bar. Undocumented immigrants are generally not eligible for federal programs but may access emergency Medicaid. All immigrants can purchase insurance through the ACA marketplace. Community health centers (federally qualified health centers) provide care on a sliding fee scale regardless of status. Children under 18 may qualify for CHIP in many states regardless of immigration status.,EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the process if ICE comes to my home?,"If ICE agents come to your home: Do not open the door unless they have a warrant signed by a judge (an administrative ICE warrant is not the same as a judicial warrant). Ask them to slide the warrant under the door — if it is signed by a federal judge and says 'search warrant,' they can enter. If it is only signed by an ICE officer, you do not have to open the door. You have the right to remain silent. Do not run. Do not physically resist. Say clearly: 'I am exercising my right to remain silent and I want to speak to a lawyer.' Contact an immigration attorney immediately.",Any,None,General,English,yes,uscis.gov,2026-06-20
,How do immigrant children access public schools?,"All children in the US, regardless of immigration status, have the right to a free public K-12 education under the Supreme Court ruling in Plyler v. Doe (1982). Schools cannot ask about immigration status or require a Social Security Number as a condition of enrollment. Typical enrollment documents include proof of age (birth certificate), proof of residency (utility bill, lease), and immunization records. Schools must also provide English language learners with appropriate language instruction. This right applies to undocumented children as well.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is a USCIS case status and how do I check it?,"You can check your USCIS case status online at egov.uscis.gov/casestatus using your receipt number from your I-797 notice of action. Your receipt number is a 13-character code starting with letters (e.g., EAC, WAC, LIN, SRC, NBC, MSC, IOE). Status updates include 'Received,' 'Biometrics Appointment Scheduled,' 'Interview Scheduled,' 'Request for Evidence,' 'Approved,' 'Card Was Mailed,' etc. You can also sign up for email/text notifications. If your case has been pending beyond the published processing time, you can submit an e-request through the USCIS website.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is an EAD combo card?,"A combo card (combination card) is a single card that serves as both an Employment Authorization Document (EAD) and an Advance Parole (AP) travel document. It is issued to adjustment of status (I-485) applicants who apply for both Form I-765 (work authorization) and Form I-131 (travel document) at the same time. The combo card has the class 'C11' on it. It allows you to work in the US and travel internationally and re-enter without abandoning your I-485, as long as you meet admissibility requirements. USCIS now routinely issues these as combo cards.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is the TN visa for Canadians and Mexicans?,"The TN (Trade NAFTA/USMCA) visa allows Canadian and Mexican citizens to work in the US in specific professional categories listed in the USMCA agreement, such as accountants, engineers, lawyers, scientists, pharmacists, and computer systems analysts. Canadian citizens can apply at the US port of entry (no advance petition needed). Mexican citizens must apply at a US consulate. TN status is granted in 3-year increments with unlimited renewals. TN holders cannot self-petition for a green card — a separate immigrant petition is needed.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,How do I appeal a USCIS denial?,"After a USCIS denial, you have several options depending on the form type: (1) File a Motion to Reopen or Motion to Reconsider (Form I-290B) with USCIS — a motion to reopen presents new facts; a motion to reconsider argues USCIS made a legal error. The filing fee is $810. (2) Appeal to the Administrative Appeals Office (AAO) for certain case types using Form I-290B. (3) If in removal proceedings, the immigration judge and Board of Immigration Appeals can hear the case. (4) File a federal court lawsuit (mandamus or APA) in certain situations. Deadlines are strict — consult an attorney quickly.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is an E-2 treaty investor visa?,"The E-2 treaty investor visa allows nationals of certain treaty countries to enter the US to direct and develop a business in which they have invested or are actively investing a substantial amount of capital. Requirements: you must be a national of a treaty country, the investment must be real and active (not speculative), it must be at least 50% owned by treaty-country nationals, and you must be in a directing or essential role. There is no minimum investment amount, but it must be substantial relative to the business. E-2 does not lead directly to a green card.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What are the consequences of immigration fraud?,"Immigration fraud — including misrepresentation on applications, sham marriages, false claims to US citizenship, or document fraud — carries severe consequences: permanent inadmissibility bar to the US (INA 212(a)(6)(C)), criminal prosecution (up to 5–10 years in prison), deportation, and bars on future immigration benefits. USCIS and CBP officers are trained to detect fraud. If you made a misrepresentation, consult an immigration attorney immediately about whether a waiver (Form I-601) is available. Voluntary disclosure before discovery may provide some protection.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is expedite request and when can I request it from USCIS?,USCIS may grant expedited processing in limited circumstances: (1) Severe financial loss to a company or individual; (2) Urgent humanitarian reasons; (3) US military deployment; (4) Congressional interest; (5) USCIS error that caused a delay; (6) Compelling need supported by credible evidence. Submit your expedite request by calling the USCIS Contact Center (1-800-375-5283) or through the online account. Include documentation supporting your reason. Expedite approvals are discretionary and not guaranteed. Routine processing delays or desired travel are generally not qualifying reasons.,Any,None,General,English,yes,uscis.gov,2026-06-20
,What is a U visa for crime victims?,"The U visa is available to victims of certain qualifying crimes (including domestic violence, sexual assault, kidnapping, manslaughter, and others) who have suffered substantial abuse, possess information about the crime, and have been helpful, are being helpful, or are likely to be helpful to law enforcement in the detection, investigation, or prosecution of the crime. A law enforcement agency must sign Form I-918B certifying the victim's cooperation. U visa holders can legally work in the US and apply for a green card after 3 years in U status. There are 10,000 U visas per year with a long waitlist.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is a T visa for trafficking victims?,"The T visa is for victims of severe forms of human trafficking — including sex trafficking and labor trafficking. To qualify you must be a victim of trafficking, be physically present in the US due to trafficking, comply with any reasonable law enforcement requests (exceptions for trauma), and demonstrate you would suffer extreme hardship if removed. T visa holders can work legally and after 3 years (or end of prosecution, whichever comes first) can apply for a green card. Up to 5,000 T visas are available per year. Family members may also be eligible.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is humanitarian parole?,"Humanitarian parole allows USCIS to grant temporary entry to the US to individuals who are otherwise inadmissible, for urgent humanitarian reasons or significant public benefit. It is discretionary and granted on a case-by-case basis. Parole does not confer immigration status and cannot lead directly to a green card (except in specific programs). Recent uses include the Uniting for Ukraine program, Cuban, Haitian, Nicaraguan, and Venezuelan parole programs (CHNV). Parolees can apply for work authorization and after 1 year may apply for asylum. File Form I-131 for advance parole or I-131A in certain programs.",Any,None,General,English,yes,uscis.gov,2026-06-20
,How do I handle a request for evidence (RFE) for my H-1B?,"When you receive an H-1B RFE, read it carefully to identify every issue raised. Common H-1B RFEs question whether the position qualifies as a specialty occupation, whether your degree is in a directly related field, or whether the employer-employee relationship is real (especially for IT consulting placements). Respond within the deadline (87 days). Include the original RFE with your response. Address every point with specific evidence: detailed job description, expert opinion letters, educational credential evaluations, end-client letters for consulting positions, and legal briefs. A well-documented response significantly improves your chances.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is a visa overstay and how does USCIS know?,"A visa overstay occurs when you remain in the US beyond the date shown on your I-94. DHS tracks overstays through biographic information matched against departure records from airlines, CBP at land borders, and the I-94 system. Since 2016 DHS publishes annual overstay reports. If you overstay 180+ days, a 3-year bar kicks in upon departure; 1+ year overstay triggers a 10-year bar. These bars are permanent for the covered period and require a waiver (Form I-601) to overcome for future entry. Always check your I-94 carefully and leave before the authorized period expires.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the I-551 stamp and why might I need it?,"The I-551 stamp (also called an Alien Documentation, Identification and Telecommunications stamp or ADIT stamp) is a temporary evidence of permanent resident status stamped in your passport by USCIS. You may need it if your green card is expired, lost, or damaged and you need to travel or prove work authorization while waiting for a replacement. USCIS or an immigration judge can issue the I-551 stamp. It typically is valid for 1 year. To get one, you usually need to attend an InfoPass appointment (now called USCIS office appointments) and bring your expired or receipt documents.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the Electronic System for Travel Authorization (ESTA)?,"ESTA is the online system that determines whether travelers under the Visa Waiver Program (VWP) are eligible to travel to the US. You must complete ESTA at esta.cbp.dhs.gov before travel ($21 fee). ESTA approval is typically instant and is valid for 2 years or until your passport expires, whichever comes first, allowing multiple trips up to 90 days each. You need a new ESTA when you get a new passport. If your ESTA is denied, you are not eligible for VWP and must apply for a B visa. ESTA is not a visa — it is a pre-travel authorization.",B1/B2,None,Travel,English,yes,uscis.gov,2026-06-20
,What is the K-3 visa for spouses of US citizens?,"The K-3 visa was created to allow foreign spouses of US citizens to enter the US while their I-130 immigrant petition was being processed, reducing family separation. However, because USCIS now processes I-130 petitions faster than K-3 petitions in many cases, K-3 is rarely used. The K-3 holder can apply for work authorization and must apply for adjustment of status (I-485) to get a green card. If your I-130 is approved before your K-3 visa appointment, you should apply for an immigrant visa directly. Consult an immigration attorney on which path is faster in your specific case.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is a removal order and what happens after?,"A removal order is a legal order requiring a person to leave the United States. It can be issued by an immigration judge after a hearing or, in expedited cases, by a CBP or ICE officer at the border. After a removal order is issued, ICE may detain and deport the person. A removal order may result in a 5-year, 10-year, or permanent bar from re-entering the US, depending on the circumstances. You can appeal to the BIA and then to a federal circuit court. Some people may qualify for a stay of removal (temporary halt) while appeals are pending.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the USCIS fee waiver and who qualifies?,"USCIS offers fee waivers (Form I-912) for certain immigration applications for people who cannot afford to pay. You may qualify if your household income is at or below 150% of the Federal Poverty Guidelines, you receive means-tested public benefits, or you can demonstrate financial hardship. Not all forms are eligible for fee waivers — common ones that are include I-485, I-765, I-131, I-90, and N-400. Provide documentation of income (tax returns, pay stubs, benefit letters). Fee waivers are adjudicated by USCIS and are not guaranteed.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is a humanitarian visa?,"Humanitarian visas are various immigration benefits available to people with urgent humanitarian needs. These include: asylum (for those fearing persecution), refugee status, withholding of removal, Convention Against Torture (CAT) protection, U visas (crime victims), T visas (trafficking victims), VAWA self-petitions (domestic violence victims), Special Immigrant Juvenile Status (abused/neglected/abandoned children), humanitarian parole, and Temporary Protected Status. Each has different eligibility criteria and benefits. Many are processed through USCIS; others through the immigration court system. Consult an immigration attorney or accredited representative.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is Special Immigrant Juvenile Status (SIJS)?,"Special Immigrant Juvenile Status (SIJS) is an immigration classification for children in the US who have been abused, neglected, or abandoned by one or both parents. A state juvenile court must first make specific findings (that reunification with one or both parents is not viable due to abuse, neglect, or abandonment, and that it is not in the child's best interest to be returned to their home country). With those findings, the child can file Form I-360 for SIJS and then apply for a green card. SIJS is available until the child turns 21 (with CSPA protections in some circuits).",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,How do I check if an immigration attorney is legitimate?,"To verify an immigration attorney: (1) Check their bar number with the state bar association — every attorney must be licensed in at least one US state. (2) Search the AILA (American Immigration Lawyers Association) member directory at aila.org. (3) Check for disciplinary history on the state bar website. (4) Verify they are not on the EOIR list of disciplined practitioners. (5) Get a written fee agreement before paying anything. (6) Never pay cash without a receipt. Avoid 'notarios,' 'immigration consultants,' or 'visa agents' who are not licensed attorneys or BIA-accredited representatives — they cannot legally provide immigration legal advice.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the I-751 petition to remove conditions?,"If you got a green card through marriage and the marriage was less than 2 years old at the time, you received a 2-year conditional green card. To get a permanent 10-year green card, you must file Form I-751 (Petition to Remove Conditions on Residence) jointly with your US citizen or permanent resident spouse within the 90-day window before your conditional card expires. You must prove the marriage was bona fide. If you divorced, were abused, or your spouse died, you can file a waiver. If approved, you get a 10-year green card. Late filings may still be accepted with a good excuse.",Any,None,Green Card,English,yes,uscis.gov,2026-06-20
,What language rights do immigrants have in the US?,"Federal law requires that entities receiving federal funds provide meaningful access to people with limited English proficiency (LEP) — this includes courts, hospitals, social service agencies, and schools. You have the right to a court interpreter in immigration proceedings. You have the right to receive vital documents in your language from federally funded agencies. You have the right to an interpreter when applying for federal benefits. Many states have additional language access laws. Under Title VI of the Civil Rights Act, discrimination based on national origin (which includes language) is prohibited in federally funded programs.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
